iter	Passed	Remaining
0	96	96659
1	134	67148
2	173	57661
3	212	52958
4	258	51349
5	287	47654
6	325	46201
7	362	44993
8	406	44750
9	445	44086
10	484	43578
11	531	43769
12	566	43032
13	602	42401
14	642	42220
15	680	41877
16	719	41632
17	757	41315
18	795	41082
19	838	41075
20	880	41046
21	925	41143
22	965	41011
23	1006	40939224	1052	41051225	1094	41006226	1132	40823227	1172	40711228	1212	40581229	1277	41299330	1329	41544331	1366	41341332	1401	41081333	1440	40931334	1480	40812335	1520	40726336	1559	40585337	1596	40425338	1631	40200339	1675	40218440	1718	40192441	1761	40186442	1796	39974443	1839	39961444	1877	39849445	1912	39666446	1943	39402447	1983	39340448	2021	39243449	2059	39125550	2092	38936551	2129	38828552	2165	38690553	2201	38560554	2237	38452
55	2276	38373556	2314	38282
57	2347	38128
58	2384	38030
59	2416	37865
60	2458	37847
61	2494	37736
62	2529	37613
63	2567	37547
64	2607	37502
65	2644	37417
66	2683	37366
67	2724	37348
68	2759	37233
69	2792	37094
70	2828	37011
71	2862	36890
72	2893	36737
73	2927	36631
74	2965	36571
75	2997	36442
76	3030	36330
77	3058	36152
78	3087	35996
79	3128	35982
80	3164	35898
81	3199	35814
82	3232	35713
83	3280	35769
84	3313	35665
85	3345	35560
86	3377	35448
87	3412	35364
88	3446	35275
89	3484	35232
90	3521	35175
91	3558	35117
92	3593	35044
93	3629	34979
94	3668	34944
95	3702	34863
96	3741	34827
97	3776	34762
98	3814	34717
99	3850	34650
100	3879	34534
101	3915	34475
102	3950	34400
103	3981	34298
104	4012	34199
105	4044	34110
106	4077	34029
107	4109	33939
108	4148	33911
109	4186	33876
110	4223	33822
111	4253	33722
112	4288	33664
113	4321	33586
114	4356	33525
115	4389	33451
116	4424	33394
117	4461	33347
118	4498	33300
119	4540	33299
120	4574	33233
121	4612	33197
122	4645	33121
123	4679	33057
124	4710	32976
125	4743	32903
126	4778	32848
127	4816	32810
128	4848	32737
129	4881	32668
130	4912	32585
131	4947	32530
132	4981	32473
133	5021	32453
134	5055	32392
135	5087	32320
136	5117	32233
137	5154	32196
138	5183	32109
139	5217	32047
140	5250	31987
141	5284	31928
142	5316	31859
143	5347	31786
144	5382	31737
145	5413	31662
146	5445	31600
147	5484	31570
148	5526	31565
149	5564	31534
150	5600	31488
151	5632	31424
152	5667	31373
153	5700	31316
154	5732	31251
155	5766	31197
156	5799	31140
157	5836	31103
158	5867	31037
159	5906	31011
160	5946	30987
161	5978	30926
162	6014	30884
163	6048	30832
164	6079	30765
165	6111	30706
166	6149	30674
167	6182	30617
168	6211	30542
169	6250	30516
170	6283	30464
171	6319	30424
172	6353	30370
173	6385	30313
174	6424	30288
175	6455	30225
176	6488	30171
177	6521	30117
178	6551	30050
179	6586	30005
180	6617	29942
181	6652	29900
182	6684	29844
183	6715	29782
184	6747	29727
185	6784	29691
186	6815	29629
187	6850	29590
188	6884	29540
189	6916	29485
190	6948	29431
191	6982	29385
192	7017	29341
193	7049	29286
194	7083	29241
195	7117	29197
196	7153	29159
197	7187	29113
198	7218	29053
199	7251	29007
200	7282	28948
201	7316	28902
202	7346	28844
203	7382	28805
204	7414	28754
205	7448	28709
206	7478	28650
207	7509	28592
208	7542	28544
209	7573	28491
210	7602	28429
211	7635	28379
212	7669	28337
213	7703	28292
214	7746	28284
215	7805	28330
216	7850	28328
217	7887	28293
218	7920	28247
219	7955	28204
220	7993	28175
221	8042	28183
222	8087	28180
